R,G,B,y
25,67,65,-1
229,164,146,1
105,155,154,-1
30,82,80,-1
96,147,150,-1
231,168,153,1
225,152,97,1
226,155,103,1
126,161,157,-1
151,102,46,1
144,97,55,1
156,96,44,1
162,200,201,-1
121,184,176,-1
114,163,167,-1
43,72,70,-1
161,195,197,-1
163,135,114,1
81,67,118,-1
85,139,139,-1
58,116,117,-1
88,139,140,-1
19,55,53,-1
130,175,178,-1
130,92,81,1
123,179,152,-1
126,174,176,-1
110,160,161,-1
144,96,48,1
114,115,109,-1
124,163,158,-1
140,181,183,-1
232,171,153,1
84,140,141,-1
181,126,123,1
18,69,70,-1
17,53,53,-1
31,80,77,-1
139,178,183,-1
52,87,83,-1
18,54,52,-1
57,57,57,-1
105,159,159,-1
255,42,86,-1
24,60,56,-1
140,168,169,-1
133,137,138,-1
218,136,89,1
168,0,0,-1
155,193,194,-1
162,197,199,-1
89,139,138,-1
149,191,190,-1
23,40,32,-1
128,173,178,-1
22,63,65,-1
122,172,173,-1
35,83,85,-1
137,178,182,-1
123,162,159,-1
3,17,20,-1
129,175,175,-1
227,253,82,-1
168,202,203,-1
68,112,123,-1
123,173,174,-1
35,91,92,-1
124,163,160,-1
39,89,88,-1
138,183,186,-1
71,121,120,-1
164,104,52,1
115,163,163,-1
49,70,31,-1
157,195,196,-1
16,55,54,-1
218,170,132,1
128,128,140,-1
132,176,179,-1
158,198,198,-1
113,163,164,-1
1,2,6,-1
163,198,200,-1
118,166,166,-1
115,163,163,-1
102,150,150,-1
45,55,57,-1
181,126,121,1
134,178,179,-1
92,141,138,-1
0,128,0,-1
44,98,98,-1
97,137,136,-1
52,71,129,-1
231,165,151,1
102,123,242,-1
122,172,173,-1
89,140,141,-1
0,13,14,-1
36,68,55,-1
105,154,151,-1
144,186,185,-1
230,165,143,1
108,154,152,-1
103,143,178,-1
194,120,81,1
255,216,133,-1
235,186,172,1
158,191,234,-1
103,151,151,-1
49,103,105,-1
230,169,148,1
141,183,181,-1
218,166,127,1
137,87,50,1
132,178,178,-1
219,41,57,-1
3,3,5,-1
84,152,223,-1
251,228,112,-1
143,183,185,-1
96,142,139,-1
109,159,160,-1
157,96,101,-1
72,87,56,-1
187,8,14,-1
139,92,50,1
118,158,157,-1
60,109,106,-1
232,168,133,1
58,120,119,-1
121,171,172,-1
101,152,153,-1
126,165,162,-1
4,15,19,-1
202,142,108,1
23,59,57,-1
148,186,189,-1
179,124,121,1
39,63,29,-1
38,146,192,-1
146,176,176,-1
145,99,65,1
147,102,43,1
101,151,150,-1
20,179,16,-1
117,165,165,-1
229,177,138,1
126,163,156,-1
56,96,96,-1
124,172,176,-1
115,163,165,-1
132,173,175,-1
159,193,195,-1
235,227,216,-1
9,55,52,-1
240,187,173,1
37,91,93,-1
188,126,67,1
53,109,110,-1
161,195,196,-1
254,186,147,1
222,175,159,1
138,179,183,-1
77,214,232,-1
123,157,166,-1
20,56,54,-1
236,241,247,-1
1,19,21,-1
133,181,183,-1
119,168,172,-1
71,87,86,-1
15,51,49,-1
220,158,121,1
1,12,16,-1
242,187,87,-1
254,214,204,1
128,73,53,1
124,167,176,-1
224,17,9,-1
41,55,56,-1
237,195,179,1
114,162,164,-1
127,175,177,-1
158,161,154,-1
69,166,208,-1
113,163,164,-1
113,164,165,-1
89,141,139,-1
123,158,152,-1
24,56,53,-1
154,104,51,1
7,33,32,-1
28,83,80,-1
132,180,182,-1
27,36,35,-1
121,169,171,-1
162,200,201,-1
23,170,151,-1
17,51,50,-1
229,164,142,1
113,159,157,-1
227,189,170,1
231,182,168,1
163,198,200,-1
158,198,198,-1
136,88,84,1
140,93,47,1
218,152,126,1
153,195,194,-1
7,33,32,-1
2,22,21,-1
130,170,170,-1
0,14,15,-1
15,54,53,-1
33,78,75,-1
254,190,152,1
255,255,253,-1
107,156,160,-1
131,179,179,-1
0,5,5,-1
58,140,180,-1
164,195,198,-1
0,0,2,-1
22,56,55,-1
9,57,33,-1
114,173,169,-1
115,166,167,-1
213,54,82,-1
68,126,127,-1
20,64,63,-1
120,170,171,-1
67,125,126,-1
23,69,66,-1
15,59,60,-1
236,183,169,1
0,14,15,-1
121,169,171,-1
132,180,180,-1
46,77,59,-1
160,195,197,-1
7,33,34,-1
255,212,203,1
191,183,181,-1
128,128,128,-1
135,179,180,-1
134,178,181,-1
7,27,25,-1
130,166,162,-1
193,132,65,1
157,197,197,-1
134,180,180,-1
10,42,41,-1
251,187,149,1
224,159,131,1
105,93,105,-1
0,181,0,-1
87,137,138,-1
158,198,198,-1
154,194,194,-1
221,137,91,1
186,198,214,-1
149,191,190,-1
159,199,201,-1
164,199,201,-1
153,193,193,-1
118,168,169,-1
58,58,58,-1
221,155,123,1
0,7,6,-1
176,254,240,-1
28,67,64,-1
200,146,108,1
60,118,119,-1
135,179,182,-1
77,94,112,-1
229,165,130,1
132,177,180,-1
224,222,236,-1
249,189,165,1
228,157,125,1
11,43,42,-1
114,162,162,-1
18,55,61,-1
21,55,54,-1
6,15,14,-1
251,188,155,1
234,178,141,1
14,48,47,-1
75,109,119,-1
131,179,181,-1
236,187,172,1
130,173,179,-1
114,87,180,-1
14,53,50,-1
219,178,146,1
128,176,178,-1
85,139,139,-1
131,175,178,-1
150,190,192,-1
232,186,170,1
233,185,171,1
251,186,146,1
24,64,63,-1
127,170,176,-1
150,190,192,-1
255,249,0,-1
248,244,235,-1
35,67,66,-1
170,204,205,-1
84,130,127,-1
128,160,159,-1
126,174,176,-1
122,170,172,-1
30,64,65,-1
244,179,157,1
217,143,98,1
160,44,65,-1
232,186,171,1
255,193,152,1
187,133,133,1
7,37,39,-1
221,172,129,1
142,140,141,-1
134,180,180,-1
104,153,123,-1
126,174,174,-1
51,67,66,-1
131,166,160,-1
134,178,179,-1
137,178,180,-1
13,53,52,-1
132,180,182,-1
12,46,45,-1
0,17,18,-1
121,163,159,-1
162,197,199,-1
126,172,172,-1
120,165,162,-1
128,176,178,-1
135,179,182,-1
219,145,96,1
106,160,162,-1
176,114,55,1
255,255,255,-1
13,183,12,-1
218,145,92,1
125,87,74,1
130,166,166,-1
89,140,135,-1
251,202,185,1
132,176,177,-1
10,11,13,-1
125,175,176,-1
250,210,200,1
237,45,56,-1
251,190,146,1
160,195,197,-1
127,173,173,-1
118,166,166,-1
95,146,149,-1
147,94,86,1
122,161,158,-1
219,178,158,1
126,176,177,-1
253,189,151,1
127,171,172,-1
252,184,147,1
255,255,253,-1
99,140,172,-1
211,225,238,-1
133,178,181,-1
230,226,214,-1
40,149,192,-1
117,177,175,-1
225,181,144,1
138,179,183,-1
44,72,73,-1
232,167,137,1
212,78,53,-1
22,56,55,-1
135,179,182,-1
116,157,153,-1
236,185,168,1
137,87,34,1
147,189,188,-1
61,96,98,-1
224,147,101,1
231,188,171,1
26,126,30,-1
126,171,174,-1
223,152,120,1
115,26,30,-1
204,159,118,1
21,29,31,-1
97,147,146,-1
106,152,149,-1
2,17,20,-1
162,200,201,-1
38,84,84,-1
255,188,151,1
162,200,201,-1
129,174,177,-1
65,87,38,-1
154,56,155,-1
135,180,183,-1
124,124,124,-1
164,199,201,-1
124,159,155,-1
22,56,55,-1
129,165,163,-1
141,119,220,-1
68,115,121,-1
239,191,177,1
126,83,76,1
112,162,163,-1
165,200,202,-1
19,65,65,-1
3,13,15,-1
169,203,205,-1
36,86,85,-1
161,196,198,-1
1,3,2,-1
129,177,179,-1
124,172,174,-1
120,170,171,-1
161,195,197,-1
13,23,14,-1
54,68,45,-1
134,179,184,-1
143,184,186,-1
79,214,233,-1
89,139,138,-1
184,122,71,1
156,104,56,1
22,57,53,-1
53,111,112,-1
114,163,167,-1
227,153,106,1
157,195,196,-1
164,199,201,-1
219,141,92,1
113,159,157,-1
203,138,108,1
254,189,149,1
222,157,115,1
21,160,141,-1
162,196,198,-1
141,185,184,-1
154,192,193,-1
117,167,168,-1
220,182,161,1
233,191,175,1
39,49,100,-1
230,166,141,1
86,140,142,-1
113,163,164,-1
236,188,174,1
105,155,152,-1
156,196,196,-1
123,105,207,-1
10,34,34,-1
10,36,35,-1
121,171,172,-1
129,174,177,-1
137,178,182,-1
225,161,136,1
131,91,83,1
135,184,181,-1
37,90,94,-1
5,39,40,-1
117,162,165,-1
117,165,165,-1
237,180,161,1
11,45,44,-1
112,166,168,-1
147,191,194,-1
244,237,227,-1
134,178,181,-1
24,68,67,-1
22,62,62,-1
8,26,62,-1
5,1,2,-1
163,197,199,-1
132,175,182,-1
153,12,28,-1
151,20,2,-1
135,179,182,-1
61,80,95,-1
130,173,179,-1
163,198,200,-1
224,182,170,1
109,163,165,-1
118,169,170,-1
157,195,196,-1
252,251,247,-1
130,172,171,-1
121,169,171,-1
130,175,178,-1
95,134,133,-1
187,179,176,-1
112,153,155,-1
21,55,54,-1
224,174,137,1
113,166,170,-1
229,164,146,1
251,211,203,1
245,186,152,1
126,101,202,-1
90,144,146,-1
117,165,165,-1
37,173,125,-1
127,173,171,-1
130,164,163,-1
242,179,135,1
255,194,157,1
18,64,64,-1
13,59,57,-1
218,137,92,1
255,255,255,-1
137,177,187,-1
55,81,33,-1
165,200,202,-1
22,62,62,-1
138,169,174,-1
134,178,181,-1
128,176,178,-1
0,0,2,-1
113,165,163,-1
81,109,112,-1
112,162,163,-1
17,56,63,-1
142,94,84,1
136,171,165,-1
167,201,203,-1
132,178,178,-1
7,37,37,-1
158,198,198,-1
23,59,57,-1
233,191,175,1
123,162,159,-1
123,171,175,-1
193,116,74,1
129,86,80,1
11,43,42,-1
8,12,13,-1
234,170,158,1
118,168,169,-1
88,142,144,-1
1,0,2,-1
253,190,149,1
226,229,238,-1
68,124,198,-1
249,188,144,1
162,200,201,-1
8,34,35,-1
111,163,161,-1
85,165,42,-1
124,0,127,-1
0,39,36,-1
113,161,165,-1
81,137,138,-1
145,189,188,-1
98,154,155,-1
156,104,56,1
162,198,198,-1
129,177,179,-1
130,180,179,-1
164,167,174,-1
176,95,174,-1
0,1,0,-1
245,185,149,1
31,85,87,-1
141,24,15,-1
254,195,155,1
170,136,111,1
46,177,109,-1
222,163,129,1
102,149,155,-1
158,105,99,1
10,14,15,-1
120,168,168,-1
30,46,43,-1
57,116,114,-1
119,159,158,-1
54,112,113,-1
22,62,62,-1
248,241,233,-1
156,194,195,-1
137,178,180,-1
196,99,142,-1
104,155,158,-1
137,178,180,-1
134,85,52,1
210,151,119,1
121,81,73,1
169,203,204,-1
24,28,27,-1
125,170,173,-1
21,55,54,-1
45,85,85,-1
242,29,75,-1
22,57,53,-1
226,177,162,1
8,34,35,-1
130,87,81,1
121,169,171,-1
163,198,200,-1
45,55,57,-1
219,142,96,1
71,123,119,-1
21,55,54,-1
85,133,133,-1
116,166,163,-1
113,163,164,-1
127,172,175,-1
235,183,169,1
129,177,179,-1
18,54,54,-1
187,112,80,1
40,70,32,-1
138,182,183,-1
147,187,189,-1
22,66,65,-1
169,116,110,1
113,159,156,-1
130,175,178,-1
93,138,135,-1
239,191,171,1
212,153,113,1
89,139,136,-1
83,209,224,-1
20,60,62,-1
0,128,0,-1
161,199,200,-1
11,51,50,-1
132,176,179,-1
111,156,159,-1
228,167,164,1
234,184,149,1
133,93,83,1
207,212,110,-1
132,178,178,-1
123,85,74,1
217,163,129,1
29,83,85,-1
28,52,52,-1
57,103,101,-1
83,141,142,-1
3,19,19,-1
152,77,136,-1
163,198,200,-1
115,163,163,-1
47,70,76,-1
217,168,127,1
23,62,57,-1
223,164,156,1
135,179,182,-1
231,178,136,1
130,178,180,-1
70,99,95,-1
114,164,165,-1
253,184,145,1
167,103,57,1
8,18,19,-1
160,171,189,-1
79,133,135,-1
119,183,148,-1
227,182,141,1
32,82,81,-1
126,167,171,-1
250,250,248,-1
136,169,174,-1
133,178,181,-1
130,175,178,-1
10,49,48,-1
155,193,194,-1
177,121,70,1
2,18,18,-1
136,177,181,-1
0,12,15,-1
132,177,180,-1
228,173,134,1
160,198,199,-1
163,198,200,-1
132,178,178,-1
163,197,199,-1
162,200,201,-1
102,150,150,-1
152,192,192,-1
162,200,201,-1
113,163,164,-1
249,204,185,1
160,195,199,-1
82,138,137,-1
255,194,157,1
162,200,201,-1
136,182,182,-1
75,215,230,-1
124,171,177,-1
48,57,56,-1
126,172,172,-1
64,114,111,-1
21,55,54,-1
161,200,199,-1
226,179,163,1
222,146,97,1
129,174,177,-1
224,172,132,1
234,231,226,-1
38,93,90,-1
217,174,131,1
96,145,141,-1
33,87,89,-1
224,159,141,1
39,85,85,-1
130,170,170,-1
252,198,212,-1
253,189,151,1
43,79,77,-1
8,34,35,-1
15,41,32,-1
5,20,25,-1
253,185,148,1
51,102,103,-1
12,46,45,-1
119,158,155,-1
93,143,142,-1
121,171,172,-1
114,164,165,-1
234,181,167,1
23,68,65,-1
50,111,112,-1
3,4,6,-1
233,170,152,1
59,59,59,-1
122,173,176,-1
237,182,162,1
135,179,180,-1
212,177,139,1
119,170,171,-1
166,201,203,-1
163,198,200,-1
124,169,172,-1
117,172,169,-1
86,136,133,-1
224,157,105,1
100,136,132,-1
235,168,142,1
118,163,166,-1
118,160,158,-1
144,156,146,-1
0,8,8,-1
128,167,164,-1
125,173,175,-1
233,229,226,-1
222,144,96,1
141,185,186,-1
0,2,1,-1
114,162,164,-1
137,170,187,-1
3,3,5,-1
57,115,116,-1
7,33,32,-1
215,130,89,1
119,169,170,-1
39,62,68,-1
57,115,116,-1
126,174,176,-1
107,107,109,-1
156,194,195,-1
194,8,19,-1
20,60,59,-1
20,161,142,-1
85,103,127,-1
89,139,138,-1
130,178,180,-1
112,161,165,-1
102,150,150,-1
87,142,139,-1
132,178,178,-1
239,183,170,1
133,178,181,-1
162,200,201,-1
74,93,151,-1
51,107,108,-1
130,178,180,-1
95,147,145,-1
215,152,117,1
135,181,181,-1
144,82,67,1
120,43,121,-1
123,172,176,-1
132,79,61,1
86,142,143,-1
84,134,125,-1
55,111,112,-1
246,181,141,1
138,182,183,-1
163,201,202,-1
115,163,163,-1
203,209,223,-1
90,132,130,-1
220,151,118,1
101,137,137,-1
30,76,74,-1
231,165,149,1
137,165,169,-1
24,66,62,-1
12,28,27,-1
32,77,74,-1
10,31,32,-1
102,150,150,-1
134,178,179,-1
2,4,3,-1
20,61,55,-1
22,56,55,-1
29,135,177,-1
88,136,150,-1
134,125,126,-1
96,89,105,-1
114,164,165,-1
133,191,143,-1
150,100,93,1
87,132,129,-1
164,195,198,-1
135,176,178,-1
67,87,94,-1
169,109,49,1
126,158,153,-1
30,84,86,-1
254,196,158,1
120,168,170,-1
105,202,237,-1
146,186,188,-1
90,139,136,-1
142,94,48,1
116,175,171,-1
254,194,157,1
158,105,55,1
0,4,5,-1
224,181,165,1
253,255,254,-1
163,197,199,-1
107,158,161,-1
119,169,170,-1
209,141,104,1
192,205,221,-1
247,240,230,-1
17,53,53,-1
20,59,56,-1
157,197,197,-1
139,81,69,1
161,155,143,-1
249,255,255,-1
121,171,172,-1
0,0,255,-1
85,139,141,-1
84,140,139,-1
196,128,63,1
162,200,201,-1
154,169,198,-1
62,112,111,-1
24,54,52,-1
251,187,149,1
88,140,138,-1
133,178,181,-1
102,147,144,-1
224,155,126,1
0,255,0,-1
131,175,178,-1
99,124,128,-1
113,161,163,-1
124,169,172,-1
21,60,55,-1
143,183,185,-1
12,47,43,-1
45,99,99,-1
26,65,64,-1
96,75,134,-1
131,175,178,-1
58,112,114,-1
24,62,63,-1
0,13,16,-1
129,174,177,-1
150,153,142,-1
14,50,50,-1
23,68,74,-1
188,119,62,1
132,180,182,-1
38,90,77,-1
1,7,7,-1
20,62,61,-1
206,196,194,-1
20,56,56,-1
225,162,145,1
213,159,121,1
3,13,14,-1
125,174,179,-1
16,55,54,-1
9,15,15,-1
124,195,155,-1
132,176,179,-1
133,177,180,-1
131,175,178,-1
170,204,205,-1
122,170,172,-1
164,199,201,-1
163,198,200,-1
134,178,181,-1
132,180,180,-1
105,154,151,-1
87,138,139,-1
141,185,186,-1
131,176,179,-1
126,81,76,1
102,130,133,-1
236,184,171,1
128,176,178,-1
58,116,117,-1
135,179,180,-1
213,78,56,-1
82,132,133,-1
130,175,178,-1
45,78,23,-1
186,0,0,-1
162,196,198,-1
132,177,180,-1
95,99,209,-1
211,156,117,1
133,182,179,-1
28,82,82,-1
255,0,255,-1
119,168,172,-1
74,132,133,-1
124,114,210,-1
219,156,149,1
208,193,216,-1
23,59,55,-1
144,177,98,-1
45,90,96,-1
160,198,199,-1
233,167,153,1
137,94,52,1
110,160,161,-1
90,138,138,-1
107,138,133,-1
135,179,178,-1
19,58,55,-1
79,113,237,-1
68,87,85,-1
42,93,96,-1
158,198,198,-1
25,69,68,-1
185,130,127,1
255,191,149,1
238,197,179,1
205,143,104,1
254,196,156,1
34,83,80,-1
161,201,203,-1
50,66,63,-1
234,234,242,-1
22,165,145,-1
21,55,54,-1
84,99,58,-1
255,101,57,-1
218,167,124,1
90,139,136,-1
19,55,53,-1
124,175,178,-1
22,58,54,-1
90,108,132,-1
26,68,67,-1
12,46,45,-1
94,150,151,-1
213,54,82,-1
156,108,62,1
96,78,138,-1
22,64,63,-1
18,156,133,-1
110,65,42,1
31,76,73,-1
248,69,91,-1
152,190,191,-1
20,56,52,-1
119,170,171,-1
255,255,0,-1
112,160,162,-1
87,139,137,-1
112,160,164,-1
53,111,112,-1
132,176,179,-1
151,87,39,1
229,197,159,1
23,68,63,-1
16,56,55,-1
168,202,203,-1
163,198,200,-1
226,176,141,1
56,160,197,-1
92,133,135,-1
147,102,47,1
170,204,205,-1
137,89,79,1
96,152,153,-1
152,92,42,1
159,194,196,-1
174,204,206,-1
155,90,98,-1
160,195,197,-1
0,20,21,-1
121,170,174,-1
125,160,156,-1
253,191,152,1
131,175,178,-1
121,169,173,-1
112,162,163,-1
112,35,117,-1
22,61,56,-1
134,178,181,-1
112,162,163,-1
111,162,163,-1
112,162,163,-1
139,164,106,-1
82,133,134,-1
50,66,63,-1
20,40,39,-1
128,176,178,-1
247,193,149,1
67,121,123,-1
75,117,115,-1
48,82,83,-1
121,171,172,-1
0,0,2,-1
24,64,63,-1
112,160,162,-1
151,97,59,1
114,163,167,-1
120,170,171,-1
104,153,150,-1
150,89,94,-1
245,182,151,1
52,108,109,-1
128,70,50,1
135,179,182,-1
227,162,140,1
25,71,69,-1
14,48,49,-1
158,198,198,-1
91,156,224,-1
91,132,128,-1
46,97,98,-1
226,148,100,1
15,51,49,-1
217,136,93,1
229,163,131,1
200,50,79,-1
132,177,180,-1
119,130,134,-1
160,195,199,-1
133,177,180,-1
89,105,60,-1
80,134,136,-1
124,175,178,-1
91,142,145,-1
40,61,20,-1
124,163,160,-1
128,176,178,-1
150,47,152,-1
206,148,110,1
211,153,115,1
55,113,114,-1
34,74,73,-1
174,120,118,1
108,162,162,-1
93,68,172,-1
142,94,46,1
70,160,73,-1
125,175,176,-1
180,115,95,1
123,171,173,-1
224,146,100,1
88,138,137,-1
84,144,144,-1
28,64,62,-1
143,183,185,-1
186,181,177,-1
80,93,23,-1
20,54,53,-1
183,117,82,1
142,182,184,-1
13,45,42,-1
158,107,104,1
140,184,185,-1
26,62,60,-1
112,163,166,-1
211,158,118,1
115,163,165,-1
6,32,31,-1
3,17,20,-1
25,54,70,-1
227,158,125,1
228,181,151,1
91,141,140,-1
107,156,153,-1
55,103,105,-1
158,198,198,-1
99,153,155,-1
156,196,196,-1
123,171,173,-1
0,15,12,-1
181,128,88,1
86,140,140,-1
97,141,140,-1
66,125,123,-1
18,56,57,-1
229,179,144,1
62,88,85,-1
157,197,197,-1
92,141,137,-1
148,89,93,-1
255,255,128,-1
113,161,163,-1
100,88,100,-1
30,57,14,-1
141,191,192,-1
112,160,162,-1
94,144,143,-1
39,95,92,-1
92,159,230,-1
126,176,175,-1
70,126,125,-1
129,129,129,-1
142,0,38,-1
255,205,194,1
95,116,37,-1
134,178,181,-1
187,31,34,-1
31,45,22,-1
127,175,177,-1
77,104,99,-1
254,214,204,1
132,180,182,-1
22,109,28,-1
114,162,164,-1
130,161,163,-1
208,48,76,-1
19,61,59,-1
24,64,64,-1
123,72,45,1
125,127,62,-1
133,177,180,-1
95,127,124,-1
147,94,44,1
123,160,153,-1
88,137,134,-1
189,134,131,1
215,161,123,1
222,174,138,1
0,128,255,-1
9,10,12,-1
207,148,116,1
125,161,157,-1
106,157,160,-1
90,135,132,-1
167,197,195,-1
254,196,158,1
128,176,178,-1
199,141,103,1
112,162,163,-1
91,140,134,-1
94,127,118,-1
255,255,255,-1
89,139,138,-1
103,127,127,-1
16,59,65,-1
213,155,117,1
124,172,174,-1
180,174,174,-1
230,165,143,1
232,179,163,1
12,30,92,-1
156,153,148,-1
112,161,165,-1
127,172,175,-1
37,59,56,-1
86,140,140,-1
150,97,66,1
130,164,163,-1
22,62,62,-1
7,19,15,-1
178,3,0,-1
27,71,70,-1
3,14,16,-1
131,175,178,-1
163,197,199,-1
132,176,179,-1
89,135,133,-1
119,168,172,-1
103,153,152,-1
4,10,10,-1
221,150,108,1
135,179,182,-1
9,35,34,-1
242,21,64,-1
217,170,128,1
106,155,152,-1
22,56,55,-1
133,181,181,-1
253,189,153,1
114,164,165,-1
118,166,166,-1
205,140,102,1
160,190,192,-1
0,128,255,-1
141,185,186,-1
51,72,29,-1
7,39,38,-1
66,112,109,-1
22,57,53,-1
127,175,177,-1
46,100,102,-1
193,123,89,1
201,136,104,1
136,181,184,-1
139,89,62,1
138,180,179,-1
121,171,172,-1
157,195,196,-1
4,24,23,-1
153,102,59,1
86,130,131,-1
55,113,114,-1
30,79,76,-1
107,153,150,-1
160,195,197,-1
171,205,206,-1
171,115,56,1
186,125,94,1
63,112,109,-1
255,216,208,1
123,174,175,-1
8,10,9,-1
249,195,148,1
225,30,47,-1
92,138,136,-1
131,175,178,-1
145,0,36,-1
198,144,97,1
49,107,108,-1
187,118,53,1
114,162,164,-1
131,175,178,-1
89,134,131,-1
125,160,156,-1
158,198,198,-1
61,119,120,-1
24,64,63,-1
234,187,171,1
124,170,170,-1
255,193,156,1
0,14,15,-1
99,155,156,-1
155,152,147,-1
86,140,142,-1
0,179,0,-1
220,147,96,1
22,56,55,-1
220,155,149,1
228,232,243,-1
128,176,178,-1
71,121,118,-1
46,56,57,-1
254,252,253,-1
131,176,179,-1
132,180,182,-1
128,176,178,-1
89,138,134,-1
212,78,53,-1
234,188,172,1
225,156,125,1
137,178,182,-1
167,201,203,-1
19,64,61,-1
121,171,172,-1
121,171,172,-1
95,136,132,-1
185,131,129,1
0,14,30,-1
43,61,111,-1
253,185,146,1
113,163,164,-1
255,0,0,-1
239,43,44,-1
163,197,199,-1
125,173,175,-1
101,147,147,-1
123,162,157,-1
225,219,219,-1
163,197,199,-1
89,138,134,-1
252,212,202,1
7,33,32,-1
255,255,253,-1
195,202,218,-1
126,161,157,-1
158,198,198,-1
31,80,77,-1
67,125,126,-1
188,7,16,-1
139,183,184,-1
129,25,36,-1
217,143,96,1
92,131,130,-1
156,190,191,-1
219,158,114,1
142,186,187,-1
127,83,36,1
233,190,174,1
254,185,146,1
238,24,62,-1
249,248,246,-1
0,24,24,-1
195,131,96,1
16,62,60,-1
142,183,189,-1
93,142,139,-1
16,47,49,-1
123,165,161,-1
0,12,12,-1
122,173,176,-1
19,55,53,-1
190,180,178,-1
157,3,1,-1
236,45,52,-1
2,7,10,-1
220,142,94,1
130,89,83,1
39,60,63,-1
137,84,42,1
222,155,103,1
93,157,228,-1
253,250,245,-1
136,180,181,-1
162,200,201,-1
94,148,150,-1
5,6,8,-1
20,56,52,-1
133,175,174,-1
115,163,163,-1
22,58,56,-1
114,120,116,-1
227,169,147,1
8,34,35,-1
126,172,172,-1
15,29,29,-1
18,52,51,-1
58,67,66,-1
30,84,86,-1
19,61,59,-1
253,255,254,-1
215,160,130,1
255,255,255,-1
157,104,98,1
136,176,176,-1
121,171,172,-1
179,113,79,1
131,175,178,-1
13,53,52,-1
36,82,79,-1
21,55,54,-1
63,112,109,-1
152,192,192,-1
136,88,65,1
126,174,176,-1
224,152,104,1
147,188,190,-1
149,189,191,-1
139,94,52,1
131,176,179,-1
1,15,16,-1
162,200,201,-1
113,163,164,-1
154,192,193,-1
81,162,42,-1
228,158,132,1
140,184,183,-1
33,87,89,-1
134,180,180,-1
0,0,2,-1
227,159,112,1
22,56,55,-1
19,53,52,-1
5,34,32,-1
128,90,81,1
130,90,80,1
181,121,61,1
193,138,141,1
0,14,13,-1
29,83,85,-1
190,116,81,1
120,168,168,-1
80,131,126,-1
78,85,44,-1
89,139,138,-1
97,94,103,-1
121,169,169,-1
111,161,152,-1
177,3,5,-1
160,200,200,-1
22,56,55,-1
113,163,164,-1
251,187,149,1
31,80,77,-1
137,182,185,-1
118,168,169,-1
132,178,178,-1
169,190,193,-1
115,163,163,-1
116,164,164,-1
82,131,128,-1
146,185,184,-1
117,94,198,-1
118,162,163,-1
140,182,181,-1
226,161,143,1
140,165,172,-1
6,3,90,-1
255,255,9,-1
31,73,71,-1
17,48,51,-1
89,139,138,-1
141,189,191,-1
127,177,186,-1
100,152,150,-1
68,109,115,-1
0,4,4,-1
175,93,177,-1
237,188,83,-1
231,165,113,1
137,181,182,-1
180,125,122,1
113,163,164,-1
23,63,63,-1
104,139,135,-1
138,179,183,-1
162,197,199,-1
120,168,172,-1
238,185,171,1
151,193,192,-1
149,98,53,1
0,128,0,-1
128,176,178,-1
120,168,172,-1
131,175,178,-1
129,177,179,-1
146,83,65,1
160,195,197,-1
35,167,120,-1
106,155,152,-1
160,198,199,-1
107,153,150,-1
134,179,182,-1
59,59,59,-1
138,179,183,-1
16,55,54,-1
138,184,184,-1
23,64,60,-1
132,176,179,-1
123,171,175,-1
109,151,150,-1
179,119,59,1
157,195,196,-1
128,176,178,-1
224,228,239,-1
218,215,210,-1
163,198,200,-1
127,162,158,-1
131,131,131,-1
128,176,178,-1
155,98,45,1
134,178,179,-1
21,55,54,-1
218,140,94,1
171,118,112,1
5,34,32,-1
184,249,253,-1
106,154,158,-1
159,197,198,-1
8,8,6,-1
228,159,128,1
0,12,11,-1
119,170,171,-1
89,140,141,-1
135,179,180,-1
162,200,201,-1
166,205,204,-1
49,103,105,-1
214,156,119,1
50,66,65,-1
71,121,120,-1
235,190,157,1
235,183,169,1
22,61,56,-1
87,89,86,-1
129,174,177,-1
133,133,133,-1
133,179,179,-1
112,160,162,-1
249,249,247,-1
0,8,13,-1
167,202,204,-1
30,82,78,-1
160,198,199,-1
2,4,1,-1
132,176,175,-1
214,80,53,-1
227,183,144,1
230,184,148,1
143,81,66,1
250,187,152,1
109,126,154,-1
222,153,122,1
92,133,129,-1
43,59,58,-1
72,0,4,-1
16,25,22,-1
129,177,179,-1
164,174,243,-1
114,163,167,-1
90,140,139,-1
222,163,123,1
131,172,176,-1
164,199,201,-1
114,163,167,-1
24,59,55,-1
108,162,162,-1
106,138,1,-1
119,130,150,-1
216,159,129,1
20,33,39,-1
129,177,177,-1
213,54,86,-1
132,176,179,-1
255,189,146,1
165,200,202,-1
170,204,205,-1
226,177,136,1
206,181,18,-1
104,140,138,-1
161,199,200,-1
167,93,146,-1
98,137,142,-1
114,163,167,-1
121,77,68,1
126,171,174,-1
236,178,156,1
244,40,49,-1
22,56,55,-1
123,171,173,-1
121,169,173,-1
231,176,156,1
129,177,179,-1
130,170,170,-1
88,113,47,-1
175,4,0,-1
19,156,138,-1
22,66,65,-1
255,192,154,1
18,54,54,-1
20,71,72,-1
123,171,173,-1
126,158,153,-1
224,198,41,-1
227,159,112,1
217,122,166,-1
132,94,85,1
119,164,161,-1
92,146,148,-1
131,175,178,-1
120,170,171,-1
184,0,5,-1
158,198,198,-1
187,133,95,1
140,186,184,-1
131,175,174,-1
135,181,181,-1
217,168,151,1
18,64,64,-1
